# Tour dates updated on 2026-05-20
# Source: reference.JPG using high-accuracy Apple Vision OCR extraction
# Fields: Date, Venue, City, Country_Code
13 Jun,Ephigenia,São Paulo,BR
14 Jun,Aldea Anniversary,Buenos Aires,AR
19 Jun,L'Avventura,Basel,CH
21 Jun,Akasha,Ibiza,ES
22 Jun,Open Air Lisbon X Luna,Lisbon,PT
25 Jun,Macarena,Barcelona,ES
28 Jun,RF & POV at Waikiki Beach Club,Costa da Caparica,PT
12 Jul,Hive,Zurich,CH
18 Jul,Pacha,Munich,DE
19 Jul,Vanity at XOYO,London,GB
24 Jul,Vagalume,Tulum,MX
25 Jul,Salon Amador,Medellin,CO
26 Jul,Looloo,Juárez,MX
02 Aug,Silencio,Paris,FR
09 Aug,Loveland Festival,Amsterdam,NL
16 Aug,DOC Showcase,Campinas,BR
